MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,HouseAge,RemodAge,TotalSF,OverallQual2,TotalBath
20,RH,80.0,11622,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,3,0.0,3,TA,CBlock,3,3,1,3,468.0,2,144.0,270.0,882.0,GasA,3,Y,SBrkr,896,0,0,896,0.0,0.0,1,0,2,1,3,5,Typ,0,4,Attchd,Unf,1.0,730.0,3,3,Y,140,0,0,0,120,0,0,6,2010,WD,Normal,49,49,1778.0,25,1.0
20,RL,81.0,14267,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,3,108.0,3,TA,CBlock,3,3,1,5,923.0,1,0.0,406.0,1329.0,GasA,3,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,4,6,Typ,0,4,Attchd,Unf,1.0,312.0,3,3,Y,393,36,0,0,0,0,12500,6,2010,WD,Normal,52,52,2658.0,36,1.5
60,RL,74.0,13830,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,3,0.0,3,TA,PConc,4,3,1,6,791.0,1,0.0,137.0,928.0,GasA,4,Y,SBrkr,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,Typ,1,3,Attchd,Fin,2.0,482.0,3,3,Y,212,34,0,0,0,0,0,3,2010,WD,Normal,13,12,2557.0,25,2.5
60,RL,78.0,9978,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,3,20.0,3,TA,PConc,3,3,1,6,602.0,1,0.0,324.0,926.0,GasA,5,Y,SBrkr,926,678,0,1604,0.0,0.0,2,1,3,1,4,7,Typ,1,4,Attchd,Fin,2.0,470.0,3,3,Y,360,36,0,0,0,0,0,6,2010,WD,Normal,12,12,2530.0,36,2.5
120,RL,43.0,5005,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,3,0.0,4,TA,PConc,4,3,1,5,263.0,1,0.0,1017.0,1280.0,GasA,5,Y,SBrkr,1280,0,0,1280,0.0,0.0,2,0,2,1,4,5,Typ,0,4,Attchd,RFn,2.0,506.0,3,3,Y,0,82,0,0,144,0,0,1,2010,WD,Normal,18,18,2560.0,64,2.0
60,RL,75.0,10000,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,3,0.0,3,TA,PConc,4,3,1,1,0.0,1,0.0,763.0,763.0,GasA,4,Y,SBrkr,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,Typ,1,3,Attchd,Fin,2.0,440.0,3,3,Y,157,84,0,0,0,0,0,4,2010,WD,Normal,17,16,2418.0,36,2.5
20,RL,68.58035714285714,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,3,0.0,3,Gd,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,4,Attchd,Fin,2.0,420.0,3,3,Y,483,21,0,0,0,0,500,3,2010,WD,Normal,18,3,2355.0,36,3.0
60,RL,63.0,8402,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,3,0.0,3,TA,PConc,4,3,1,1,0.0,1,0.0,789.0,789.0,GasA,4,Y,SBrkr,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,Typ,1,4,Attchd,Fin,2.0,393.0,3,3,Y,0,75,0,0,0,0,0,5,2010,WD,Normal,12,12,2254.0,36,2.5
20,RL,85.0,10176,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,3,0.0,3,TA,PConc,4,3,4,6,637.0,1,0.0,663.0,1300.0,GasA,4,Y,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,4,5,Typ,1,1,Attchd,Unf,2.0,506.0,3,3,Y,192,0,0,0,0,0,0,2,2010,WD,Normal,20,20,2641.0,49,2.5
20,RL,70.0,8400,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,3,0.0,3,TA,CBlock,3,3,1,5,804.0,3,78.0,0.0,882.0,GasA,3,Y,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,3,4,Typ,0,4,Attchd,Fin,2.0,525.0,3,3,Y,240,0,0,0,0,0,0,4,2010,WD,Normal,40,40,1764.0,16,2.0
